id,focus,signal,slack,drag,confidence,score,lane
l001,join width,35,33,6,25,129,watch
l002,constraint risk,35,34,6,55,190,ship
l003,plan drift,35,35,6,85,251,ship
l004,index fit,35,36,18,25,84,hold
l005,join width,35,37,18,55,145,watch
l006,constraint risk,35,38,18,85,206,ship
l007,plan drift,35,39,34,25,23,hold
l008,index fit,35,40,34,55,84,hold
l009,join width,35,41,34,85,145,watch
l010,constraint risk,60,42,6,25,188,ship
l011,plan drift,60,43,6,55,249,ship
l012,index fit,60,44,6,85,310,ship
l013,join width,60,45,18,25,143,watch
l014,constraint risk,60,46,18,55,204,ship
l015,plan drift,60,47,18,85,265,ship
l016,index fit,60,48,34,25,82,hold
l017,join width,60,32,34,55,126,watch
l018,constraint risk,60,33,34,85,187,ship
l019,plan drift,85,34,6,25,230,ship
l020,index fit,85,35,6,55,291,ship
l021,join width,85,36,6,85,352,ship
l022,constraint risk,85,37,18,25,185,ship
l023,plan drift,85,38,18,55,246,ship
l024,index fit,85,39,18,85,307,ship
l025,join width,85,40,34,25,124,watch
l026,constraint risk,85,41,34,55,185,ship
l027,plan drift,85,42,34,85,246,ship
